url,Bottling_serie,Vintage,Bottled,Number_of_bottles,Strength,Size,Casktype,Bottled_for,Stated_Age,Casknumber,Bottle_code,Calculated_age,Label,Barcode,rating,votes,category,price,distillery,bottler
https://www.whiskybase.com/whiskies/whisky/11046/springbank-35-year-old,Millennium Bottling Limited Edition,,1999,,46,700 ml,,,35,,,,,,94.26,106,Single Malt,6238.8,Springbank,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/31151/macallan-1970,Fine & Rare,1970,2002,,52.4,50 ml 700 ml 750 ml,Hogshead,,31,9033,,32,,,94.26,21,Single Malt,0,Macallan,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/75610/springbank-1966,Local Barley - West Highland,1966,1990,,58.1,50 ml,Oak Sherry Cask,,24,1966 443,,24,,,94.24,24,Single Malt,0,Springbank,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/14414/springbank-1966,Local Barley,1966,1998,,56.8,700 ml,Oak Bourbon Cask,,32,1966 493,,32,,,94.23,37,Single Malt,6622.81,Springbank,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/17395/longmorn-1974-sa,Natural Strength,1974,1985,600,60.8,750 ml,Sherry Wood,,,,,11,,,94.23,70,Single Malt,700,Longmorn,Samaroli (Sa)
https://www.whiskybase.com/whiskies/whisky/18444/macallan-1971,The Anniversary Malt,1971,1997,,43,700 ml 700 ml 750 ml,,,25,,,26,,,94.22,32,Single Malt,4264.34,Macallan,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/17416/ardbeg-1973-rwd,20th Anniversary,1973,1988,540,57,750 ml,,Samaroli,,,,15,,,94.21,36,Single Malt,990,Ardbeg,R. W. Duthie & Co. (RWD)
https://www.whiskybase.com/whiskies/whisky/33575/glendronach-1972,Single Cask,1972,2012,476,50.2,700 ml,Oloroso Sherry Butt,LMDW / Whisky Live Singapore 2012,40,713,,40,,,94.21,99,Single Malt,5166.09,Glendronach,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/1433/ardbeg-1976,The Ardbeg Committee,1976,2000,528,55,700 ml,Sherry Butt,,,2392,,24,,,94.21,55,Single Malt,4506.87,Ardbeg,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/13211/macallan-1972,The Anniversary Malt,1972,1998,,43,750 ml,,,25,,,26,,,94.21,26,Single Malt,3267,Macallan,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/4255/ardbeg-1976,,1976,2008,519,52.4,700 ml,Sherry Butt,La Maison du Whisky,,2397,,32,,,94.21,162,Single Malt,6203.04,Ardbeg,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/7698/bowmore-1968,Vintage Distillation,1968,2006,708,43.4,700 ml,Bourbon Wood,,37,,,38,,,94.2,54,Single Malt,6888.49,Bowmore,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/61081/highland-park-1955-it,Special Selection,1955,1985,216,53.2,750 ml,Oak Cask,,30,,,30,,,94.2,54,Single Malt,2541,Highland Park,Intertrade (It)
https://www.whiskybase.com/whiskies/whisky/17653/macallan-1957,The Anniversary Malt,1957,1983,,43,750 ml 750 ml,,,25,,,26,,,94.2,29,Single Malt,13746.66,Macallan,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/25372/macallan-1954,Fine & Rare,1954,2002,366,50.2,50 ml 700 ml 750 ml,Butt,,47,1902,,48,,,94.19,19,Single Malt,35597.96,Macallan,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/50468/glendronach-1972,Single Cask - Batch 9,1972,2013,448,51.7,700 ml,Oloroso Sherry Butt,,41,702,LG71062,41,,5060088797426,94.19,152,Single Malt,4748.28,Glendronach,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/1290/ardbeg-1976,,1976,2002,492,53.5,700 ml,Sherry Butt,Velier,,2396,,26,,,94.17,88,Single Malt,4895.15,Ardbeg,Distillery Bottling
https://www.whiskybase.com/whiskies/whisky/1625/ardbeg-1974,Manager's Choice,1974,2006,93,46.7,700 ml,Bourbon Cask,,,4985,,32,,,94.17,33,Single Malt,3890.34,Ardbeg,Distillery Bottling
